i_I,i_Q
0.27800886774074796,0.8777345879340844
0.31447925717867775,0.36543678390010415
0.5431363778381183,0.504205940958908
0.22336988833887683,0.9234806025602462
0.4057015177705934,0.4127443831128863
0.829136442403767,0.4119179337613804
0.8575885342517212,0.8575495173995328
0.9958355527639126,0.8804609036662641
0.9859749812469911,0.9516549596916773
0.997128867511005,0.9052851162899539
0.9881313644575014,0.8707984919260594
0.8701823178350592,0.28372476948582614
0.7515079475956424,0.47664381263620403
0.6357819787538884,0.5622039411617581
0.7874267628501491,0.29887759321474006
0.3270039501202282,0.9895491034505359
0.6708223411635933,0.6030947775195256
0.6926235375520201,0.6497375581747159
0.3691156221377022,0.9976337379759479
0.9300809644716206,0.8942312407561258
0.8363753356087104,0.8959957165602856
0.9598320654605933,0.8139242490521227
0.9802413397617545,0.8089392405873786
0.8943396653957763,0.7992533404135866
0.8957857625796235,0.7590411574558243
0.9349076255845291,0.8794444078212175
0.8960112179885734,0.8248207400441044
0.9970200750059401,0.937471649331822
0.9377529297230269,0.8484263330953934
0.9785751925278797,0.9974756312961239
0.9956335787407548,0.5295503676974858
0.9975738551531594,0.3290881223172908
0.9969423678584521,0.40662248323357947
0.999694411419887,0.07083202916930934
0.9973488358723397,0.21384969044555738
0.9907477496020342,0.14904779003375873
0.9977126472826434,0.42001759482483925
0.952792647364864,0.1855604708490435
0.9052589557528691,0.16564089116256858
0.9860537709131605,0.06841271985503611
0.9905641483707446,0.09083352479743023
0.9727912992424033,0.14216796858024983
0.9961650055362946,0.07539174660008537
0.9913275434108194,0.0362408470722885
0.9973950241960426,0.059882695368892624
0.9807530112995373,0.062146271544791874
0.3197357025553844,0.08417106081799453
0.3332018338319759,0.03875254536900556
0.2562164178349286,0.07549043283222132
0.029917898908707774,0.5801034621517418
0.03293276839479978,0.5404038570416748
0.2620010600504848,0.00890955553139559
0.03376608014058215,0.5728525596932287
0.027509761237612118,0.9912448636484461
0.01924831461732901,0.7865347355455296
0.03494287479533891,0.7477509445920211
0.021212654933326462,0.318042513984503
0.020963418600293993,0.4547409358994521
0.013152394628864156,0.7006604537734303
0.01846729347723186,0.8115702590519707
0.020184156759619452,0.32899597245793777
0.03159969537276416,0.6417368099795829
0.013512540651881899,0.6566721242759902
0.0207185940397161,0.5670515760133628
0.025899125017880387,0.31758701170946246
0.012377491597487328,0.6589725058646994
0.011680288994561083,0.5322492794076007
0.012188677979065643,0.8276390569413374
0.009616303740440146,0.9331899147293907
0.01049000545579606,0.2719223618914577
0.007140605701762552,0.6548069254240271
0.010917764236509322,0.47157225590218876
0.013357829082614958,0.977145099475965
0.012785102331695053,0.3831035628328515
0.006799574089053812,0.4036582634175588
0.009702402390584397,0.6018170743974083
0.011223733768728247,0.22164204830203077
0.0036769730780484063,7.55372247704389e-05
0.00740314894006594,0.8991396295164152
0.014457942135833688,0.5362175910062047
0.007785570268974751,0.6938453344431764
0.010812435705257029,0.7628383777066976
0.00789167464861638,0.27999663867786895
0.006847726101567549,0.027716381682396728
0.009137904973953018,0.7542680497879942
0.010573799917434373,0.7067060090753191
0.006153694633371051,0.005495554753305321
0.013253654143453681,0.27529220114833836
0.026324587707824088,0.2221290651898279
0.018380208704761467,0.6357577914917202
0.04278620219051881,0.7185091743188399
0.05525638592074489,0.3470540755815825
0.008093856422974,0.8141003623252824
0.0752194552667283,0.3375653076474997
0.005241859029453875,0.4005427332972781
0.0031719912546411544,0.06609302320789828
0.006539879093307208,0.05081274479845249
0.0764589099336841,0.911445072446206
0.08338097916080747,0.4331966788233005
0.014955301736255998,0.005597064407180052
0.07898443714026712,0.716483239293521
0.0021821141520169673,0.01822274051780326
0.09457674673696476,0.09980750536410621
0.053259619786916,0.23119446025837997
0.06492164960830107,0.10877188501379165
0.07117364971600282,0.2562796891659699
0.006291603421972557,0.6274244634103829
0.11419529210281176,0.33474201670703585
0.06326640578590254,0.9286494134800146
0.09740649932838652,0.45013263268187925
0.0709242795715294,0.7568795583664178
0.08685381778541434,0.2937827791763432
0.08781185137701154,0.5945307110250102
0.09059197108300743,0.30739411410564155
0.09190829408296852,0.5802373019287772
0.08231100207637791,0.8044267393365525
0.0007015121543304942,0.8275725328187931
0.13505890134062298,0.6651319685119258
0.1324902394203173,0.920766373645669
0.09501348534318585,0.7676526809313561
0.07467272164909262,0.6090406917728012
0.09905571394133074,0.9991109259196822
0.12001298289745368,0.7916087389184734
0.09207791529478704,0.35721101035337965
0.10823293717973238,0.8988305764276658
0.10966732116715862,0.7307631329250919
0.1310492298647673,0.1590158767471157
0.13144539799787583,0.5844788276519683
0.11225316548457556,0.666090952234278
0.12726752800174232,0.9844838879558967
0.11984580015534385,0.8230778522410069
0.11575337856917257,0.4033166439698722
0.12609137849710708,0.6687759279229339
0.15103867100340113,0.13122035355591238
0.1561546629007208,0.8416419594907435
